12.016	-0.731	-2.574	2.040	4.431	1.955	5.259	0.000	0.941
34.900	14.614	-4.408	3.908	5.935	2.939	-0.361	0.000	0.419
29.440	-36.967	-2.193	2.728	3.553	2.113	3.091	0.000	0.158
30.196	-36.453	-2.834	4.600	6.386	7.849	0.208	0.000	0.121
36.768	-25.221	-3.207	2.458	5.169	1.987	-0.407	0.000	0.118
49.401	8.371	-4.797	1.798	3.661	1.535	-0.282	0.000	0.094
43.568	-10.122	-3.802	2.430	4.380	1.737	2.989	0.000	0.090
30.475	-38.417	-2.983	5.091	8.085	9.990	2.130	0.000	0.086
29.097	-39.510	-3.320	5.247	6.421	9.857	2.870	0.000	0.059
51.026	-14.831	-4.891	6.294	4.210	6.129	0.545	0.000	0.057
44.593	-30.211	-4.807	2.427	3.209	2.110	5.537	0.000	0.053
41.346	-10.157	-3.821	2.680	4.962	2.802	-0.231	0.000	0.051
