56.315	24.684	-2.052	3.064	5.805	1.944	3.959	0.000	0.572
28.379	3.681	-1.228	1.964	6.475	2.221	4.939	0.000	0.557
18.725	13.778	-0.684	5.896	3.219	2.678	1.067	0.000	0.504
57.527	25.405	-1.790	5.032	6.878	2.928	3.159	0.000	0.421
55.376	23.750	-2.032	1.649	2.649	1.172	4.082	0.000	0.156
29.683	4.313	-1.323	3.082	8.581	2.686	4.766	0.000	0.101
57.516	24.143	-2.063	5.294	7.872	3.363	4.313	0.000	0.083
19.149	14.321	-0.516	6.118	4.810	2.739	-0.785	0.000	0.073
55.630	24.345	-2.092	2.224	3.771	1.512	4.120	0.000	0.072
27.086	17.851	0.082	1.710	3.739	1.324	2.233	0.000	0.065
