30.695	-0.065	-2.247	2.007	3.927	2.191	4.689	0.000	0.893
59.687	-3.875	-3.128	1.230	0.797	0.792	1.261	0.000	0.337
59.958	-3.950	-3.116	1.160	0.886	0.812	1.375	0.000	0.304
59.487	-4.047	-3.391	0.375	1.469	1.127	-0.087	0.000	0.293
59.359	-3.960	-3.134	0.394	1.611	1.136	-0.105	0.000	0.201
59.643	-3.845	-3.503	0.426	1.653	1.108	3.094	0.000	0.165
59.603	-4.097	-3.393	1.117	0.643	0.783	1.240	0.000	0.149
59.853	-4.299	-3.167	1.120	0.861	0.916	5.479	0.000	0.136
59.091	-3.900	-3.233	0.373	1.391	1.103	0.066	0.000	0.099
59.875	-4.045	-3.537	0.416	1.689	1.212	0.152	0.000	0.098
59.689	-4.242	-3.625	0.402	1.666	1.095	3.339	0.000	0.093
59.526	-3.437	-3.319	0.396	1.630	1.111	0.080	0.000	0.083
59.197	-4.076	-3.230	0.858	0.821	0.814	1.781	0.000	0.078
59.556	-3.537	-3.044	1.078	0.888	0.820	1.113	0.000	0.076
32.009	0.984	-2.377	3.027	7.556	3.663	4.492	0.000	0.074
59.681	-3.801	-3.415	0.484	1.622	0.998	0.359	0.000	0.067
58.970	-3.541	-3.416	0.422	1.450	1.177	2.775	0.000	0.066
60.081	-4.633	-3.216	1.158	0.894	0.930	5.338	0.000	0.064
58.349	-3.151	-3.992	0.769	1.570	1.394	-1.061	0.000	0.062
59.231	-4.425	-4.058	0.435	1.790	1.213	0.026	0.000	0.060
60.016	-3.505	-2.951	1.187	0.981	0.899	1.052	0.000	0.057
31.514	-0.387	-2.362	2.997	5.694	2.851	4.723	0.000	0.054
58.699	-3.943	-3.398	0.481	1.364	1.031	-0.167	0.000	0.051
59.688	-3.275	-2.958	1.083	1.050	0.918	1.040	0.000	0.051
