13.779	-0.812	-1.382	1.808	4.399	1.656	4.039	0.000	0.951
42.948	-35.711	-1.794	1.778	2.647	1.048	5.311	0.000	0.735
15.090	-3.377	-1.338	1.815	3.391	1.689	4.089	0.000	0.672
25.931	-27.766	-1.624	2.041	4.203	2.029	3.990	0.000	0.627
20.797	-9.352	-1.360	1.625	3.560	1.514	0.986	0.000	0.596
16.436	-4.944	-1.802	2.654	5.945	2.491	5.177	0.000	0.316
13.001	20.012	-2.399	1.817	4.151	1.613	3.880	0.000	0.289
45.225	-37.906	-1.509	6.135	8.400	3.364	-1.080	0.000	0.224
15.548	-4.068	-1.541	2.027	3.848	1.859	4.383	0.000	0.202
43.634	-36.242	-1.855	2.543	4.003	1.625	5.363	0.000	0.175
29.384	-19.995	-1.113	2.070	3.538	1.496	4.144	0.000	0.166
14.976	5.915	-1.563	1.963	4.473	1.559	3.706	0.000	0.148
45.654	-39.536	-1.241	4.737	5.976	2.275	4.654	0.000	0.146
36.050	-28.076	-1.447	1.642	3.295	1.394	-0.639	0.000	0.137
17.030	-5.331	-1.721	2.761	7.244	2.597	-0.512	0.000	0.123
24.540	-15.122	-1.601	2.802	4.275	1.986	-0.630	0.000	0.112
15.170	-3.964	-1.542	2.160	3.877	1.852	3.439	0.000	0.099
42.442	-35.314	-1.838	1.246	1.466	1.201	1.766	0.000	0.086
18.791	-7.152	-1.291	1.702	2.998	1.386	1.028	0.000	0.085
17.899	-6.861	-1.513	1.722	2.702	1.449	1.211	0.000	0.066
24.290	-13.322	-1.203	1.836	3.621	1.417	1.171	0.000	0.065
26.356	-27.981	-1.934	3.743	5.279	3.161	3.720	0.000	0.065
27.779	-17.958	-1.254	2.615	4.992	2.287	3.439	0.000	0.064
24.515	-13.727	-1.443	2.118	3.935	1.594	0.064	0.000	0.061
42.816	-35.638	-1.800	1.036	1.984	1.272	-0.364	0.000	0.055
27.105	-29.198	-2.471	3.153	6.848	2.971	3.130	0.000	0.053
