26.991	0.895	-1.994	1.903	3.847	1.308	1.404	0.000	0.924
36.415	-16.502	-1.975	1.920	4.325	1.958	-0.073	0.000	0.912
44.436	8.314	-3.657	3.375	7.813	2.533	2.409	0.000	0.440
14.300	7.473	-1.258	1.862	4.105	1.782	2.571	0.000	0.376
14.533	-24.269	-0.555	2.114	2.404	1.131	2.680	0.000	0.134
15.139	8.319	-2.017	2.761	5.097	2.033	2.981	0.000	0.087
15.202	7.211	-1.527	2.217	4.261	1.854	4.443	0.000	0.075
44.352	8.827	-3.613	3.633	6.976	2.816	1.453	0.000	0.063
37.926	-15.677	-2.376	4.470	7.955	7.019	6.677	0.000	0.059
37.227	-16.433	-2.076	2.799	5.748	3.130	0.015	0.000	0.052
