14.646	7.353	-1.310	1.922	4.359	1.575	1.467	0.000	0.975
24.138	15.745	-1.949	2.130	4.076	1.577	1.333	0.000	0.582
7.086	-2.146	-1.037	2.372	6.026	2.671	4.578	0.000	0.375
9.572	-2.860	-1.117	3.364	10.349	2.814	4.770	0.000	0.346
10.606	-0.087	-1.316	3.437	9.910	3.202	4.747	0.000	0.266
12.531	4.548	-1.446	1.420	3.133	1.325	4.491	0.000	0.237
11.665	-2.091	-1.230	3.609	12.444	2.913	4.734	0.000	0.176
9.271	-3.848	-1.316	3.670	10.596	3.130	5.230	0.000	0.146
4.978	6.572	-1.062	4.566	11.415	3.082	4.450	0.000	0.122
12.423	4.145	-1.468	1.342	3.182	1.324	3.250	0.000	0.105
4.105	6.470	-0.975	3.243	7.268	2.459	4.488	0.000	0.089
23.961	15.804	-2.039	2.479	4.248	1.725	0.342	0.000	0.084
5.584	-3.355	-0.667	2.053	4.217	1.890	-0.067	0.000	0.060
12.209	4.661	-1.436	1.296	3.146	1.369	3.344	0.000	0.060
9.406	-3.339	-1.229	3.656	11.547	3.025	-0.142	0.000	0.059
9.539	-1.157	-1.119	3.427	10.328	2.919	4.670	0.000	0.057
9.492	0.731	-1.017	2.336	5.988	2.289	4.738	0.000	0.057
11.620	0.747	-1.282	3.265	9.539	3.188	4.876	0.000	0.054
5.693	-5.479	-0.940	2.072	6.760	2.197	4.966	0.000	0.053
14.144	-3.086	-1.186	3.342	10.377	2.747	4.831	0.000	0.051
